user_id_1,user_id_2,since_date,closeness,interactions
U00046,U00596,2023-12-15,0.49,164
U00046,U01939,2023-06-02,0.12,46
U00047,U00415,2026-01-09,0.94,90
U00047,U01444,2023-07-30,0.88,123
U00047,U00450,2023-11-16,0.74,187
U00047,U00430,2026-04-18,0.14,44
U00047,U01793,2025-01-16,0.74,145
U00048,U00994,2024-12-11,0.4,20
U00048,U02022,2025-10-14,0.31,58
U00048,U00852,2023-12-16,0.27,133
U00048,U01052,2023-06-03,0.93,172
U00048,U01271,2024-11-12,0.3,142
U00048,U01870,2023-06-04,0.23,46
U00049,U01251,2026-02-20,0.46,123
U00049,U01340,2025-06-20,0.9,181
U00049,U01530,2024-04-24,0.45,182
U00049,U01317,2025-07-10,0.94,60
U00049,U00608,2025-06-04,0.23,42
U00049,U00056,2024-10-15,0.1,160
U00049,U00927,2025-02-20,0.39,9
U00050,U01810,2026-01-26,0.18,161
U00050,U00152,2025-01-15,0.96,174
U00050,U01064,2025-10-26,0.53,66
U00050,U00159,2023-08-14,0.26,197
U00050,U00881,2024-10-20,0.7,193
U00050,U01874,2025-06-11,0.37,50
U00050,U02089,2026-02-26,0.34,165
U00051,U01235,2025-01-01,0.85,123
U00051,U00267,2023-11-14,0.52,6
U00052,U01062,2025-12-30,0.62,138
U00052,U00837,2024-08-27,0.3,13
U00052,U00659,2024-05-03,0.45,19
U00053,U00850,2024-01-20,0.6,16
U00053,U01296,2025-05-22,0.35,168
U00053,U00317,2024-04-17,0.84,110
U00053,U00751,2025-09-10,0.36,125
U00053,U01511,2025-08-27,0.5,120
U00053,U02024,2024-04-29,0.75,173
U00053,U00673,2026-03-26,0.59,43
U00054,U01684,2024-09-28,0.9,197
U00054,U00218,2023-07-15,0.69,107
U00055,U01717,2024-10-19,0.88,141
U00055,U00919,2025-02-10,0.41,1
U00055,U00834,2024-11-21,0.72,200
U00055,U00518,2025-07-09,0.5,1
U00056,U02082,2025-09-18,0.87,51
U00056,U00272,2026-02-17,0.4,37
U00052,U00056,2023-11-10,0.98,10
U00056,U00519,2023-10-07,0.41,190
U00057,U00280,2024-02-24,0.52,105
U00057,U01947,2026-03-28,0.72,197
U00057,U00551,2024-04-27,0.81,28
U00057,U00701,2023-11-10,0.87,95
U00058,U01295,2024-10-12,0.26,49
U00058,U00621,2026-02-19,0.44,117
U00058,U01764,2024-03-08,0.34,142
U00058,U00707,2026-01-05,0.14,29
U00058,U00756,2025-01-22,0.59,97
U00058,U00717,2026-04-03,0.56,156
U00058,U00083,2023-10-10,0.15,71
U00059,U01741,2023-12-16,0.27,10
U00059,U00783,2025-11-04,0.51,96
U00060,U01684,2024-08-14,0.62,69
U00060,U01529,2025-11-26,0.79,70
U00060,U01279,2025-03-25,0.72,59
U00061,U01420,2024-08-20,0.19,192
U00061,U00779,2023-07-15,0.49,159
U00061,U00385,2026-04-24,0.92,33
U00061,U00466,2024-09-06,0.73,2
U00061,U00407,2026-01-03,0.51,158
U00002,U00061,2024-06-21,0.89,27
U00062,U00179,2025-04-27,0.66,89
U00062,U00720,2025-05-10,0.81,11
U00063,U00328,2024-01-16,0.67,30
U00063,U01180,2025-11-25,0.87,18
U00063,U01146,2024-01-04,0.49,128
U00063,U01852,2026-03-15,0.69,100
U00064,U00553,2023-06-13,0.3,58
U00064,U01632,2025-06-18,0.4,122
U00064,U00080,2024-08-06,0.3,85
U00065,U00306,2026-03-09,0.37,161
U00065,U00170,2026-03-25,0.66,152
U00065,U01709,2023-12-14,0.82,68
U00065,U01806,2024-09-01,0.83,156
U00065,U01128,2023-08-23,0.24,184
U00066,U00624,2026-05-01,0.44,27
U00066,U01476,2023-11-01,0.49,107
U00066,U00585,2026-01-09,0.86,73
U00067,U02126,2023-10-17,0.91,93
U00067,U01654,2025-12-23,0.54,102
U00068,U00494,2023-11-15,0.45,1
U00068,U01789,2023-06-09,0.97,100
U00068,U01393,2024-09-14,0.66,149
U00068,U02079,2025-08-04,0.69,14
U00069,U01846,2023-07-21,0.85,71
U00069,U00767,2024-10-24,0.71,92
U00070,U00780,2025-01-11,0.61,123
U00070,U00146,2024-08-24,0.12,75
U00071,U00200,2023-11-17,0.9,109
U00071,U00736,2024-08-15,0.14,13
U00071,U00914,2024-09-22,0.28,81
U00071,U00544,2023-08-30,0.16,7
U00071,U00881,2024-07-23,0.59,74
U00071,U02063,2024-12-22,0.93,128
U00072,U01206,2025-11-12,0.24,99
U00072,U01293,2023-06-23,0.21,26
U00072,U01821,2024-05-27,0.25,6
U00072,U01651,2025-06-10,0.81,20
U00073,U00281,2025-03-06,0.92,145
U00073,U00329,2023-06-21,0.47,190
U00073,U02154,2025-07-10,0.76,158
U00073,U01833,2026-01-06,0.69,28
U00074,U00159,2023-11-19,0.44,35
U00074,U01116,2024-11-04,0.67,100
U00074,U00351,2023-12-31,0.12,184
U00074,U00127,2023-09-11,0.59,71
U00065,U00074,2025-10-30,0.81,61
U00074,U00644,2024-05-12,0.2,172
U00075,U01498,2023-12-02,0.21,195
U00075,U00693,2023-05-15,0.8,40
U00075,U01970,2023-08-01,0.11,129
U00075,U00186,2023-05-09,0.76,188
U00075,U01962,2024-08-20,0.34,100
U00076,U01977,2025-09-08,0.9,101
U00076,U00779,2023-08-06,0.41,103
U00076,U01927,2026-01-28,0.46,52
U00076,U01218,2025-08-22,0.56,93
U00077,U00575,2023-08-23,0.99,22
U00077,U00121,2023-09-04,0.2,183
U00078,U01434,2025-09-20,0.64,198
U00078,U01523,2023-08-10,0.96,72
U00078,U00235,2024-12-07,0.22,113
U00078,U00260,2025-02-08,0.38,76
U00078,U00863,2024-05-17,0.62,159
U00078,U01430,2025-08-14,0.6,76
U00079,U00131,2024-05-25,0.32,65
U00079,U01012,2025-02-11,0.53,84
U00079,U00692,2023-07-07,0.83,12
U00079,U00521,2025-09-16,0.82,198
U00079,U00465,2025-09-28,0.1,48
U00079,U00512,2025-01-30,1.0,33
U00080,U00593,2025-09-25,0.48,150
U00080,U00249,2025-05-05,0.61,116
U00018,U00081,2026-03-09,0.12,150
U00081,U00682,2024-04-26,0.62,150
U00082,U01282,2025-03-02,0.23,131
U00082,U00726,2024-09-07,0.71,146
U00082,U01447,2024-02-02,0.92,61
U00082,U00089,2025-09-07,0.52,25
U00082,U01067,2023-09-29,0.79,164
U00082,U00448,2025-05-22,0.71,139
U00082,U02152,2026-02-18,0.91,195
U00082,U02188,2024-02-04,0.28,195
U00083,U01230,2024-04-02,0.4,155
U00083,U00536,2026-03-17,0.81,62
U00083,U02036,2025-03-10,0.66,13
U00083,U01261,2023-09-13,0.77,150
U00084,U00232,2025-06-25,0.92,68
U00084,U00669,2026-01-27,0.76,33
U00084,U01241,2025-03-19,0.5,52
U00084,U00656,2025-01-08,0.37,193
U00085,U00328,2024-05-03,0.46,175
U00085,U00994,2023-09-25,0.47,11
U00085,U01940,2026-03-22,0.5,155
U00085,U00382,2025-08-07,0.53,86
U00085,U01416,2025-08-19,0.19,34
U00086,U00239,2024-01-07,0.27,40
U00086,U01875,2026-04-12,0.76,99
U00086,U00097,2023-10-16,0.26,188
U00086,U00663,2025-04-18,0.46,186
U00086,U00095,2025-02-18,0.86,115
U00087,U00651,2025-05-15,0.58,126
U00087,U00320,2023-10-06,0.98,59
U00087,U01275,2025-02-11,0.82,8
U00087,U01203,2025-02-23,0.44,77
U00087,U01599,2023-06-07,0.94,26
U00087,U00617,2026-02-23,0.18,116
U00087,U00089,2024-02-03,0.57,135
U00088,U00604,2024-08-12,0.17,2
U00088,U01066,2025-12-24,0.27,70
U00088,U01350,2024-05-02,0.79,87
U00088,U00497,2026-03-20,0.71,10
U00088,U00281,2024-06-06,0.47,114
U00089,U01765,2024-06-11,0.11,128
U00089,U00316,2024-08-27,0.9,157
U00089,U01350,2025-02-23,0.17,30
U00089,U00561,2024-09-13,0.83,122
U00090,U01070,2025-09-28,0.17,192
U00090,U01632,2024-11-19,0.76,133
U00090,U00490,2026-04-17,0.45,49
U00090,U00662,2023-09-19,0.82,156
U00091,U01785,2025-08-27,0.66,121
U00065,U00091,2025-05-15,0.72,154
U00091,U00270,2024-02-08,0.45,107
U00091,U01188,2025-07-01,0.26,104
U00091,U01079,2024-10-26,0.44,190
U00092,U01705,2025-04-10,0.64,156
U00092,U00094,2025-08-14,0.88,107
U00092,U01493,2026-03-07,0.63,36
U00093,U01763,2025-11-05,0.54,194
U00093,U00458,2024-10-18,0.83,92
U00093,U00497,2023-10-26,0.36,103
U00093,U00795,2026-04-25,0.89,114
U00093,U02048,2023-08-19,0.25,128
U00093,U01581,2025-04-25,0.85,11
U00093,U01320,2024-12-05,0.35,166
U00094,U00459,2024-09-11,0.3,8
U00094,U01632,2023-07-20,0.16,181
U00094,U01420,2024-03-31,0.7,157
U00095,U01942,2024-05-04,0.14,19
U00095,U02122,2024-06-04,0.17,153
U00095,U00122,2023-10-19,0.26,43
U00096,U00901,2024-08-04,0.69,49
U00096,U00163,2025-12-19,0.6,196
U00096,U01906,2025-07-25,0.3,124
U00096,U01276,2024-10-08,0.63,177
U00096,U00400,2023-09-03,0.33,130
U00096,U00477,2025-05-01,0.38,110
U00096,U00448,2024-03-27,0.51,131
U00096,U01428,2025-07-12,0.95,69
U00097,U01387,2024-12-19,0.71,122
U00097,U00180,2024-09-02,0.12,153
U00097,U00424,2023-10-03,0.3,191
U00098,U01854,2024-03-11,0.71,51
U00098,U00146,2026-04-25,0.42,81
U00098,U01727,2024-01-06,0.29,186
U00098,U01649,2023-09-08,0.47,77
U00098,U01256,2023-12-28,0.8,94
U00098,U00885,2026-03-08,0.76,102
U00099,U01205,2025-08-21,0.14,113
U00099,U00522,2025-02-01,0.77,85
U00099,U01612,2024-11-19,0.53,164
U00099,U01313,2025-06-20,0.45,192
U00099,U01204,2023-06-15,0.55,50
U00100,U00231,2023-11-05,0.16,164
U00100,U00423,2023-07-06,0.28,59
U00100,U01559,2025-03-02,0.33,178
U00100,U00576,2024-03-28,0.65,28
U00100,U01093,2026-02-24,0.37,148
U00100,U01330,2024-05-15,0.71,90
U00100,U00376,2025-01-31,0.93,105
U00100,U01233,2025-09-18,0.27,143
U00101,U00214,2025-05-15,0.77,13
U00101,U01147,2024-05-12,0.69,150
U00101,U01807,2024-01-03,0.71,101
U00101,U00171,2024-05-22,0.3,42
U00101,U00437,2025-12-29,0.29,127
U00102,U01555,2025-03-04,0.84,91
U00102,U01937,2023-08-09,0.45,42
U00102,U00506,2025-01-02,0.61,109
U00102,U00976,2023-05-26,0.9,53
U00102,U00446,2025-11-30,0.38,185
U00102,U00507,2026-04-23,0.2,134
U00102,U01993,2023-07-30,0.34,158
U00103,U01190,2024-03-05,0.49,195
U00103,U01480,2023-10-12,0.64,110
U00103,U00690,2026-02-03,0.52,84
U00103,U01023,2025-11-23,0.92,174
U00103,U01859,2024-04-16,0.4,70
U00104,U01427,2026-02-08,0.52,134
U00104,U01349,2025-05-01,0.47,105
U00104,U01468,2024-12-26,0.73,43
U00104,U01538,2024-04-15,0.72,84
U00104,U00428,2025-04-19,0.64,102
U00104,U01734,2025-08-10,0.35,70
U00105,U00273,2025-06-26,0.49,189
U00105,U01495,2026-02-28,0.7,148
U00105,U00374,2024-06-01,0.87,123
U00105,U01716,2025-12-07,0.33,134
U00105,U01040,2023-06-17,0.75,135
U00105,U01832,2023-11-11,0.31,197
U00105,U01801,2025-11-30,0.16,72
U00105,U00426,2024-05-10,0.71,87
U00106,U00853,2023-09-03,0.32,82
U00106,U01322,2023-11-03,0.23,72
U00106,U01244,2025-03-31,0.55,79
U00106,U01736,2024-10-08,0.98,91
U00106,U00408,2026-02-06,0.94,27
U00106,U00675,2024-03-23,0.34,15
U00107,U00471,2023-12-05,0.21,139
U00107,U01564,2025-02-18,0.5,80
U00107,U01698,2023-12-14,0.61,122
U00107,U02147,2024-12-19,0.89,153
U00107,U02097,2023-11-23,0.78,141
U00108,U02053,2023-06-14,0.6,107
U00108,U01563,2024-09-26,0.94,178
U00109,U00153,2024-07-20,0.81,130
U00069,U00109,2026-01-02,0.88,85
U00109,U01793,2024-01-14,0.92,87
U00109,U01188,2025-05-14,0.32,178
U00109,U01572,2026-04-10,0.18,165
U00109,U00519,2025-04-06,0.32,154
U00109,U00419,2023-10-12,0.2,153
U00110,U00331,2023-12-15,0.6,48
U00110,U00538,2024-06-27,0.43,34
U00110,U01517,2025-05-26,0.3,96
U00110,U01667,2024-10-05,0.82,132
U00111,U01924,2024-01-29,0.27,18
U00111,U00431,2023-09-22,0.64,122
U00111,U01246,2023-08-09,0.84,146
U00112,U00569,2024-03-15,0.8,184
U00112,U00509,2026-02-27,0.58,33
U00112,U01912,2026-02-17,0.65,40
U00112,U01304,2025-06-17,0.71,69
U00112,U00334,2024-02-12,0.56,98
U00113,U01347,2023-05-24,0.98,5
U00113,U00591,2023-06-24,0.34,15
U00113,U01356,2024-04-06,0.4,143
U00113,U00266,2024-08-29,0.77,92
U00113,U00269,2024-08-18,0.99,131
U00113,U01880,2026-03-16,1.0,86
U00113,U02152,2024-11-29,0.37,172
U00114,U00782,2024-10-27,0.62,10
U00114,U00169,2025-01-30,0.57,65
U00114,U01282,2024-11-19,0.24,143
U00114,U01147,2025-05-01,0.2,144
U00114,U00308,2025-05-11,0.64,131
U00114,U01072,2026-01-05,0.78,134
U00114,U00361,2024-10-11,0.27,88
U00114,U01199,2024-08-14,0.27,43
U00115,U00710,2025-03-27,0.26,39
U00115,U00572,2025-04-03,0.54,74
U00115,U00278,2025-06-15,0.31,145
U00115,U02077,2024-01-29,0.63,1
U00115,U01383,2023-07-13,0.37,130
U00116,U01639,2025-05-21,0.3,168
U00116,U02094,2024-11-14,0.49,45
U00116,U00272,2025-03-14,0.8,119
U00116,U00494,2024-02-23,0.81,114
U00117,U01344,2023-12-11,0.95,22
U00117,U01635,2025-06-13,0.65,100
U00117,U01946,2025-09-12,0.46,188
U00118,U00414,2024-03-25,0.89,36
U00118,U00653,2023-07-16,0.89,110
U00118,U00387,2026-01-03,0.72,67
U00118,U00252,2024-11-07,0.33,97
U00118,U01147,2024-01-25,0.39,32
U00044,U00118,2024-04-26,0.41,157
U00119,U00723,2024-11-15,0.56,16
U00119,U00124,2024-10-04,0.53,178
U00119,U01808,2023-09-09,0.85,166
U00119,U01255,2023-07-03,0.75,97
U00119,U00614,2024-10-27,0.14,104
U00119,U01167,2024-10-03,0.32,95
U00072,U00119,2025-09-06,0.31,200
U00120,U01153,2025-04-29,0.94,131
U00120,U01407,2025-03-27,0.3,150
U00120,U02021,2025-11-06,0.12,144
U00120,U00604,2023-11-05,0.96,158
U00120,U01827,2023-09-07,0.85,157
U00121,U00514,2024-01-31,0.16,163
U00121,U01684,2026-02-19,0.21,23
U00121,U00988,2026-01-04,0.53,176
U00121,U00328,2025-02-01,0.17,134
U00121,U00766,2024-11-19,0.26,94
U00121,U01949,2023-10-05,0.55,33
U00122,U00602,2025-09-02,0.59,79
U00122,U00295,2026-02-16,0.32,111
U00122,U01556,2024-02-03,0.82,11
U00122,U00301,2024-11-16,0.23,139
U00122,U00686,2025-05-31,0.17,118
U00123,U00993,2025-02-17,0.65,24
U00123,U00775,2023-12-02,0.44,152
U00124,U01278,2023-10-13,0.72,88
U00124,U00775,2024-06-14,0.97,79
U00124,U01254,2023-05-11,0.95,87
U00124,U01148,2024-04-23,0.57,77
U00104,U00124,2023-11-26,0.59,27
U00124,U01855,2025-01-05,0.3,177
U00124,U01587,2024-08-26,0.99,33
U00124,U00783,2024-04-16,0.4,161
U00062,U00125,2024-12-01,0.64,84
U00125,U01751,2023-08-28,0.41,31
U00125,U01509,2024-08-10,0.78,99
U00125,U00674,2026-04-08,0.41,137
U00045,U00125,2024-02-17,0.17,50
U00125,U01197,2023-07-12,0.22,45
U00126,U01998,2025-12-17,0.41,23
U00126,U02164,2025-05-28,0.21,144
U00126,U00513,2025-01-08,0.36,45
U00126,U00765,2024-12-06,0.97,155
U00127,U02189,2025-02-23,0.26,135
U00108,U00127,2025-01-11,0.42,65
U00127,U01260,2023-11-14,0.79,81
U00127,U00226,2025-06-15,0.46,42
U00127,U01396,2024-12-15,0.4,148
U00127,U00374,2025-02-22,0.89,102
U00127,U00299,2023-08-16,0.39,185
U00128,U00745,2025-08-04,0.89,196
U00128,U00611,2025-11-11,0.96,6
U00128,U00229,2024-01-05,0.62,139
U00128,U01648,2025-04-14,0.88,188
U00085,U00128,2025-08-27,0.61,6
U00128,U00193,2025-11-18,0.75,130
U00129,U00850,2025-08-03,0.38,3
U00129,U00476,2026-02-07,0.59,67
U00129,U00716,2024-10-08,0.42,43
U00129,U00190,2023-06-22,0.91,114
U00129,U00244,2023-05-15,0.26,36
U00129,U00814,2024-08-31,0.37,144
U00012,U00129,2024-05-07,0.39,86
U00130,U00279,2026-03-16,0.71,42
U00130,U00858,2025-03-30,0.91,121
U00130,U00549,2024-12-28,0.81,49
U00130,U00637,2024-12-14,0.38,140
U00130,U00422,2023-05-07,0.39,10
U00131,U00978,2024-11-18,0.18,124
U00131,U01502,2023-09-27,0.71,139
U00131,U00442,2025-03-25,0.35,156
U00131,U00657,2023-06-07,0.25,36
U00131,U01701,2025-04-01,0.53,23
U00083,U00131,2026-04-10,0.29,155
U00132,U00669,2026-01-17,0.64,71
U00132,U01819,2025-08-01,0.19,179
U00133,U01405,2025-10-11,0.54,150
U00133,U01810,2024-07-02,0.97,180
U00133,U01719,2026-03-24,0.39,173
U00133,U01734,2026-02-17,0.49,154
U00133,U01543,2023-05-04,0.4,163
U00133,U02181,2025-03-07,0.23,33
U00134,U01252,2026-01-25,0.45,159
U00134,U01955,2024-06-22,0.16,109
U00134,U00465,2025-06-16,0.17,149
U00135,U01131,2023-06-28,0.92,71
U00135,U00340,2023-07-28,0.4,72
U00135,U01824,2025-04-05,0.69,4
U00131,U00135,2024-12-06,0.62,64
U00135,U01079,2025-06-26,0.52,195
U00006,U00136,2024-07-02,0.6,48
U00136,U01039,2024-09-04,0.84,7
U00136,U01543,2024-03-26,0.85,82
U00136,U02042,2023-08-13,0.82,193
U00136,U01370,2024-08-18,0.17,116
U00137,U00252,2024-05-10,0.21,18
U00137,U01995,2024-05-03,0.75,41
